,Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Output,Feedback
0,1,0,2,3,4,2,3,1,1,1
1,2,0,2,3,2,0,2,1,1,1
2,1,1,2,3,2,2,2,1,1,0
3,1,0,2,3,4,0,5,1,1,1
4,1,1,2,3,2,2,3,1,1,1
5,3,0,0,0,3,2,1,5,1,1
6,1,1,2,3,4,0,2,1,1,1
7,2,0,2,3,4,2,2,2,1,1
8,2,0,2,3,4,2,1,1,1,1
9,2,0,2,3,4,2,3,2,1,1
10,1,0,2,3,4,2,4,1,1,1
11,2,1,2,3,2,2,1,1,1,0
12,2,1,2,3,4,2,4,4,1,1
13,1,1,2,3,4,0,3,1,1,1
14,2,0,2,2,0,2,4,1,1,1
15,2,0,2,3,4,2,5,3,1,1
16,3,0,2,0,1,2,1,2,1,1
17,2,0,2,3,4,0,2,1,1,0
18,2,1,2,3,4,0,3,4,1,0
19,1,0,2,3,2,2,0,2,1,1
20,2,1,2,3,4,2,2,1,1,1
21,1,1,2,3,4,2,3,2,1,1
22,1,0,2,3,4,0,3,2,1,1
23,2,1,2,3,4,0,3,1,1,1
24,1,1,2,3,2,2,2,4,1,1
25,2,1,2,3,4,2,2,1,1,1
26,1,0,2,3,4,2,4,2,1,1
27,1,1,2,3,4,2,2,4,1,1
28,2,0,2,0,0,0,2,2,1,1
29,1,1,2,3,2,2,3,1,1,1
30,1,0,2,0,0,0,4,3,1,1
31,1,1,2,3,4,2,3,2,1,1
32,2,1,0,0,3,1,3,2,1,1
33,1,0,2,3,0,2,4,1,1,1
34,1,0,2,3,4,2,1,5,1,1
35,2,1,2,3,0,2,2,4,1,1
36,2,1,2,3,4,2,4,1,0,1
37,4,0,1,1,4,0,4,1,1,0
38,2,0,2,3,4,2,2,1,1,1
39,2,0,2,3,4,2,3,4,1,1
40,4,1,0,2,3,4,3,1,1,0
41,2,1,2,3,4,0,2,2,1,1
42,2,1,2,3,4,2,3,1,1,1
43,1,0,2,3,4,2,4,1,1,1
44,1,1,2,3,4,0,4,1,1,1
45,3,0,0,2,0,2,1,2,1,1
46,2,0,2,3,4,2,2,1,1,1
47,2,1,2,3,4,2,1,1,1,1
48,2,0,2,3,4,0,2,1,1,0
49,1,0,2,3,0,2,4,1,1,1
50,2,0,2,3,4,0,4,2,1,1
51,2,0,2,3,4,2,1,1,1,1
52,2,1,2,3,4,2,2,1,1,1
53,2,1,2,3,4,2,1,1,1,1
54,1,1,2,3,4,2,2,4,1,1
55,3,0,0,3,4,0,1,4,1,1
56,1,0,2,3,4,2,0,4,1,1
57,2,0,2,3,4,0,2,1,1,1
58,4,1,0,0,3,1,4,5,1,1
59,2,1,2,3,4,2,3,4,1,1
60,2,1,2,3,4,2,4,4,1,1
61,1,1,2,3,4,2,2,4,1,1
62,2,1,2,3,1,2,0,4,1,1
63,2,1,2,3,4,0,3,2,1,1
64,2,0,2,3,4,2,1,1,1,1
65,2,1,2,3,4,2,5,2,1,1
66,2,1,2,0,0,0,3,2,1,1
67,2,0,2,3,4,2,3,1,1,1
68,2,0,2,3,4,2,3,1,1,1
69,2,0,0,0,3,1,3,1,1,1
70,1,1,2,3,4,0,3,1,1,1
71,2,0,2,3,0,2,2,2,0,1
72,2,0,2,3,4,2,2,1,1,1
73,2,1,2,3,4,2,1,4,1,1
74,2,1,2,3,4,2,3,1,1,1
75,2,0,2,3,1,2,2,3,1,1
76,2,1,2,3,4,2,3,2,1,1
77,1,1,2,3,4,0,3,1,1,1
78,1,0,2,3,4,2,2,1,1,1
79,2,1,2,3,4,2,4,1,1,1
80,2,1,2,3,0,2,3,3,1,1
81,2,0,2,3,4,2,2,1,1,1
82,2,1,2,3,4,2,2,2,1,1
83,1,1,2,3,4,2,2,1,1,1
84,2,1,2,3,4,2,2,1,1,1
85,2,0,2,3,4,2,3,2,1,1
86,2,1,2,3,4,2,4,1,1,1
87,2,1,2,3,4,0,0,1,1,1
88,2,1,2,3,4,2,4,1,0,1
89,3,1,0,2,0,0,1,1,0,0
90,3,0,1,0,1,2,4,1,0,1
91,2,1,2,2,0,1,0,3,0,1
92,1,1,2,3,4,2,1,1,1,1
93,2,0,2,3,4,2,2,1,1,1
94,2,1,2,3,4,2,0,2,1,1
95,2,1,2,3,4,0,0,1,1,1
96,2,0,2,3,4,0,4,2,1,1
97,2,0,2,3,4,0,4,2,1,1
98,2,1,0,0,1,0,4,1,0,1
99,4,0,0,1,4,4,2,1,0,1
100,2,0,2,3,0,2,2,2,0,1
101,2,1,2,3,4,2,1,2,1,1
102,1,0,2,0,0,0,2,3,1,1
103,2,0,2,3,4,1,2,1,1,1
104,2,1,2,0,1,0,1,2,1,0
105,3,1,0,0,3,0,2,3,0,1
106,2,1,2,0,3,2,1,3,0,1
107,2,1,2,3,4,2,0,2,1,1
108,2,1,2,0,2,0,1,3,0,1
109,1,1,2,3,4,0,4,1,1,1
110,1,1,2,3,4,2,3,1,1,1
111,2,1,2,3,4,2,0,2,1,1
112,2,1,2,3,2,2,1,1,1,1
113,2,0,2,3,4,0,4,2,1,1
114,2,1,2,0,0,2,1,1,1,1
115,2,0,0,0,1,0,3,1,0,0
116,4,0,0,1,4,3,4,1,1,1
117,2,1,1,2,3,1,1,1,0,1
118,4,0,0,0,1,0,4,2,1,1
119,2,1,2,0,1,0,2,1,1,1
120,3,0,0,2,3,0,4,1,0,1
121,2,1,2,2,1,0,2,1,1,1
122,2,0,2,2,1,2,2,1,1,1
123,4,1,0,0,3,1,4,1,1,0
124,2,1,0,2,3,1,5,1,0,0
125,3,0,0,2,1,0,2,1,1,1
126,2,1,2,3,4,2,2,1,1,1
127,2,1,2,3,4,2,3,1,1,1
128,2,1,2,3,4,2,2,1,1,1
129,2,0,2,3,4,2,3,1,1,1
130,3,1,0,0,3,2,2,1,1,1
131,4,0,0,0,3,0,0,1,0,1
132,2,1,2,3,4,2,1,1,1,1
133,1,1,2,3,4,0,1,1,0,0
134,1,0,2,3,4,0,3,2,1,1
135,3,0,0,0,1,2,1,3,0,1
136,2,1,2,2,1,0,2,1,1,1
137,4,1,0,0,3,1,4,1,0,0
138,2,0,2,0,3,0,2,1,1,1
139,1,0,2,3,2,2,3,2,1,1
140,2,1,2,3,4,2,2,3,0,1
141,1,0,2,3,4,0,2,4,1,0
142,2,1,0,0,1,0,1,1,1,1
143,4,0,0,1,4,3,4,1,1,1
144,2,1,2,3,4,2,2,1,0,0
145,2,1,2,0,0,2,2,1,1,1
146,2,1,2,3,3,2,2,1,1,1
147,2,0,2,3,4,2,3,3,1,1
148,4,1,0,0,0,0,3,2,1,1
149,1,1,2,3,4,2,3,1,1,1
150,2,1,2,3,3,2,2,1,1,1
151,2,0,2,3,4,2,3,1,1,1
152,1,1,2,3,4,0,1,1,1,1
153,1,1,2,3,4,0,1,1,1,1
154,2,0,0,2,0,0,4,1,1,1
155,2,0,2,3,4,2,3,1,1,1
156,2,1,2,0,1,2,2,1,1,1
157,4,0,0,1,4,0,2,1,1,1
158,3,1,0,0,3,1,4,1,0,0
159,1,0,2,3,4,0,1,1,1,1
160,1,1,2,3,4,0,1,1,1,1
161,2,1,2,0,3,2,2,1,0,0
162,2,1,2,0,0,0,3,1,1,1
163,2,1,2,0,1,2,2,1,1,1
164,2,0,0,0,1,0,2,1,1,1
165,3,1,2,0,3,1,3,1,0,1
166,3,0,2,3,4,1,4,1,0,0
167,2,0,2,3,4,2,4,3,1,1
168,2,1,0,2,3,3,1,1,1,1
169,1,1,2,3,4,0,1,1,0,0
170,1,1,2,3,4,2,0,1,1,1
171,2,0,0,3,2,1,2,1,1,1
172,3,1,1,0,1,2,0,1,1,1
173,2,0,2,3,4,2,2,1,1,1
174,2,1,2,0,2,0,1,1,1,1
175,2,0,2,0,0,0,5,1,1,1
176,1,1,2,3,4,0,1,1,0,1
177,2,1,0,2,3,2,2,1,0,0
178,2,1,2,0,2,2,0,1,1,0
179,2,0,0,2,1,2,2,1,0,1
180,3,0,0,0,3,0,2,1,0,1
181,2,1,2,3,2,0,2,5,1,0
182,1,0,2,0,1,0,3,3,1,1
183,1,1,2,3,4,0,1,1,0,1
184,4,0,0,1,4,3,4,1,1,1
185,3,1,0,0,3,2,0,1,1,1
186,1,1,2,3,4,2,1,1,1,1
187,2,1,2,0,0,0,1,1,1,1
188,2,0,0,0,1,2,1,1,0,0
189,4,1,0,2,3,3,5,1,1,1
190,2,1,2,3,4,2,2,1,0,0
191,2,1,2,0,1,2,1,1,1,1
192,4,0,0,0,3,1,4,1,1,1
193,2,1,2,0,1,0,1,2,1,1
194,2,0,0,2,3,0,1,2,1,1
195,1,0,2,3,4,0,2,2,1,1
196,1,1,2,3,4,0,5,2,1,1
197,2,1,0,0,3,2,5,2,1,1
198,2,0,0,1,4,3,5,2,1,1
199,2,0,2,3,4,0,1,2,0,0
200,2,1,2,3,4,2,1,2,1,1
201,2,1,2,3,4,2,4,5,1,1
202,1,0,2,0,1,0,3,4,1,1
203,2,1,0,0,3,0,3,2,1,1
204,2,0,2,3,4,1,2,2,1,1
205,1,1,2,3,4,0,1,2,1,1
206,3,1,0,0,1,0,3,2,0,0
207,2,0,2,3,4,0,0,1,1,1
208,2,1,2,2,3,0,1,2,1,1
209,3,0,0,0,1,0,3,2,0,0
210,3,1,0,2,1,0,5,2,0,0
211,2,1,2,2,0,0,2,2,1,1
